"","study_id","es_id","yi","vi","title","year","file_drawer","prop_women","video_know","stim","proc","proc_aware","w_v_b"
"68",30,68,-0.159697991,0.034922473,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0,"yes",NA,"exp.pose-exp.pose",NA,"within"
"69",30,69,-0.490235693,0.038626397,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0,"yes",NA,"exp.pose-exp.pose",NA,"within"
"70",30,70,0.25254566,0.035582402,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0,"yes",NA,"exp.pose-exp.pose",NA,"within"
"71",31,71,0.372667302,0.022608003,"Emotional suppression",1993,"yes",1,"yes","film","suppress-control","yes","between"
"72",31,72,0.088642999,0.022244049,"Emotional suppression",1993,"yes",1,"yes","film","suppress-control","yes","between"
"73",31,73,0.197257461,0.022330307,"Emotional suppression",1993,"yes",1,"yes","film","suppress-control","yes","between"
"74",31,74,0.15791661,0.022291493,"Emotional suppression",1993,"yes",1,"yes","film","suppress-control","yes","between"
"75",31,75,-0.226347142,0.022364536,"Emotional suppression",1993,"yes",1,"yes","film","suppress-control","yes","between"
"76",32,76,0.039924902,0.047074714,"Emotional Suppression: Physiology, Self-Report, and Expressive Behavior",1993,"no",0.494117647,"yes","film","suppress-control","yes","between"
"77",33,77,0.711365374,0.052209181,"Exploring the positive and negative implications of facial feedback.",2012,"no",1,"no","sentences","exp.pose-exp.pose",NA,"within"
"78",33,78,0.55678269,0.048125145,"Exploring the positive and negative implications of facial feedback.",2012,"no",1,"no","sentences","exp.pose-suppress",NA,"within"
"79",34,79,0.687886877,0.042897205,"Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing",2012,"yes",0.568,"yes","film","suppress-control","yes","between"
"80",34,80,0.081265362,0.043091061,"Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing",2012,"yes",0.568,"yes","film","suppress-control","yes","between"
"81",34,81,0.169782792,0.043210535,"Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing",2012,"yes",0.568,"yes","film","suppress-control","yes","between"
"82",34,82,0.273276198,0.040884536,"Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing",2012,"yes",0.568,"yes","film","suppress-control","yes","between"
"83",35,83,0.253385883,0.033293619,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","exaggerate-control","yes","within"
"84",35,84,0.659110492,0.039264946,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","exaggerate-control","yes","within"
"85",35,85,0.207246757,0.034049187,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","exaggerate-control","yes","within"
"86",35,86,0.138604698,0.033653521,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","exaggerate-control","yes","within"
"87",35,87,-0.045660672,0.032291692,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","suppress-control","yes","within"
"88",35,88,-0.504409467,0.036361757,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","suppress-control","yes","within"
"89",35,89,0.074251114,0.03342522,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","suppress-control","yes","within"
"90",35,90,-0.118552311,0.033567578,"Expressive suppression and enhancement during music-elicited emotions in younger and older adults",2015,"no",0.590163934,"no","audio","suppress-control","yes","within"
"91",36,91,0.475913872,0.021408596,"Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation",2011,"yes",0.541666667,"yes","film","exaggerate-control","yes","within"
"92",36,92,0.165381983,0.023038082,"Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation",2011,"yes",0.541666667,"yes","film","exaggerate-control","yes","within"
"93",36,93,-0.268356991,0.019923226,"Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation",2011,"yes",0.541666667,"yes","film","suppress-control","yes","within"
"94",36,94,-0.263618426,0.023516985,"Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation",2011,"yes",0.541666667,"yes","film","suppress-control","yes","within"
"95",37,95,-0.162444837,0.056288565,"Facial Action and Emotional Language: ERP Evidence that Blocking Facial Feedback Selectively Impairs Sentence Comprehension",2015,"no",0.555555556,"no",NA,NA,NA,"within"
"96",38,96,0.42242104,0.025330692,"Facial feedback and social input: Effects on laughter and enjoyment in children with autism spectrum disorders.",2016,"no",0.162790698,NA,"film","incidental-control","no","within"
"97",39,97,1.232518204,0.237977528,"Facial feedback effects on impression formation.",1993,"no",1,"no","social context","exaggerate-control","yes","between"
"98",39,98,0.312228557,0.202437167,"Facial feedback effects on impression formation.",1993,"no",1,"no","social context","suppress-control","yes","between"
"99",40,99,1.610684963,0.264857651,"Facial feedback effects on impression formation.",1993,"no",1,"no","social context","exaggerate-control","yes","between"
"100",40,100,-1.38053698,0.247647059,"Facial feedback effects on impression formation.",1993,"no",1,"no","social context","suppress-control","yes","between"
"101",41,101,0.996661093,0.187361111,"Facial feedback mechanisms in autistic spectrum disorders.",2008,"no",NA,"no","pictures","incidental-control","no","between"
"102",42,102,0.432477788,0.040500686,"Facilitating the Furrowed Brow: An Unobtrusive Test of the Facial Feedback Hypothesis Applied to Unpleasant Affect",1992,"no",0.3,"no","pictures","incidental-suppress",NA,"within"
"103",43,103,1.265872202,0.048681519,"Feeling and facial efference: Implications of the vascular theory of emotion",1989,"no",NA,"no","audio","incidental-incidental",NA,"within"
"104",44,104,0.472639886,0.04275747,"Feeling and facial efference: Implications of the vascular theory of emotion",1989,"no",0,NA,NA,"incidental-incidental",NA,"within"
"105",44,105,0.309863494,0.040307988,"Feeling and facial efference: Implications of the vascular theory of emotion",1989,"no",0,NA,NA,"incidental-incidental",NA,"within"
"106",45,106,0.548909793,0.081385313,"Happiness and stereotypic thinking in social judgment.",1994,"no",0.725490196,"no",NA,"exp.pose-control","yes","between"
"107",46,107,0.372677996,0.022608025,"Hiding feelings: The acute effects of inhibiting negative and positive emotion",1997,"no",1,"yes","film","suppress-control","yes","between"
"108",46,108,0.159506182,0.022292895,"Hiding feelings: The acute effects of inhibiting negative and positive emotion",1997,"no",1,"yes","film","suppress-control","yes","between"
"109",47,109,0.067953398,0.058016655,"How does facial feedback modulate emotional experience?",2009,"no",0.634328358,"no","film","suppress-control","yes","between"
"110",47,110,0.505201788,0.059832678,"How does facial feedback modulate emotional experience?",2009,"no",0.634328358,"no","film","suppress-control","yes","between"
"111",48,111,-0.028829414,0.029853848,"How to handle anxiety: The effects of reappraisal, acceptance, and suppression strategies on anxious arousal",2009,"no",NA,"yes","social context","suppress-control","yes","between"
"112",49,112,-0.07624137,0.012695017,"Individual differences in cognitive control processes and their relationship to emotion regulation",2016,"no",0.569620253,NA,"pictures","suppress-control","yes","within"
"113",50,113,-0.047245559,0.035754145,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"114",50,114,-0.182574186,0.033888889,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"115",50,115,-0.08247861,0.035835763,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"116",50,116,-0.091287093,0.033472222,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"117",50,117,0.041239305,0.035744655,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"118",50,118,0.502079011,0.037534722,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,"yes",0.413793103,"yes","pictures","suppress-control","yes","within"
"119",51,119,0.431283474,0.055560905,"Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.",1988,"no",NA,"no","pictures","incidental-suppress",NA,"between"
"120",52,120,0.552619174,0.100064915,"Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.",1988,"no",0.457831325,"no","pictures","incidental-suppress",NA,"between"
"121",52,121,-0.512259347,0.099547104,"Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.",1988,"no",0.457831325,"no","pictures","incidental-suppress",NA,"between"
"122",52,122,-0.148737308,0.048326041,"Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.",1988,"no",0.457831325,"no","pictures","incidental-suppress",NA,"between"
"123",53,123,-0.232551842,0.108838924,"Intellectual performance and ego depletion: Role of the self in logical reasoning and other information processing",2003,"no",0.594594595,"yes","film","suppress-control","yes","between"
"124",54,124,1.738383468,0.100805852,"Mapping the emotional landscape: The role of specific emotions in conceptual categorization.",2015,"no",0.745454545,"yes",NA,"exp.pose-exp.pose",NA,"between"
"125",55,125,-0.167333382,0.022533338,"Mindful regulation of positive emotions: A comparison with reappraisal and expressive suppression",2014,"no",0.666666667,"yes","film","suppress-control","yes","within"
"126",56,126,0.57126296,0.056259063,"Mood is linked to vowel type: The role of articulatory movements.",2014,"no",NA,"no","pictures","incidental-incidental",NA,"between"
"127",56,127,0.464790357,0.055513717,"Mood is linked to vowel type: The role of articulatory movements.",2014,"no",NA,"no","pictures","incidental-suppress",NA,"between"
"128",57,128,-0.067697599,0.010022915,"On the activation of sensorimotor systems during the processing of emotionally-laden stimuli",2013,"no",0.788461538,"no",NA,"incidental-control","no","within"
"129",58,129,-0.065739879,0.009454348,"On the activation of sensorimotor systems during the processing of emotionally-laden stimuli",2013,"no",0.754716981,"no",NA,"incidental-control","no","within"
"130",59,130,-0.06637346,0.009636565,"On the activation of sensorimotor systems during the processing of emotionally-laden stimuli",2013,"no",0.730769231,"no","pictures","incidental-suppress",NA,"within"
"131",60,131,-0.067697599,0.010022915,"On the activation of sensorimotor systems during the processing of emotionally-laden stimuli",2013,"no",0.63,"no",NA,"incidental-control","no","within"
"132",63,132,0.18203956,0.076026912,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no",NA,"exp.pose-control","yes","between"
"133",63,133,0.344399025,0.073829602,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no",NA,"exp.pose-control","yes","between"
"134",63,134,-0.079875912,0.072809324,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","exp.pose-control","yes","between"
"135",63,135,0.297685514,0.073556929,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","exp.pose-control","yes","between"
"136",63,136,-0.123966195,0.075859263,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","exp.pose-suppress",NA,"between"
"137",63,137,0.22086939,0.076174505,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","exp.pose-suppress",NA,"between"
"138",63,138,-0.04336202,0.077055117,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","suppress-control","yes","between"
"139",63,139,-0.090650991,0.077116052,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.6125,"no","pictures","suppress-control","yes","between"
"140",64,140,-0.741619849,0.106875,"On the expression and experience of surprise: no evidence for facial feedback, but evidence for a reverse self-inference effect.",2007,"no",0.5,"no","pictures","exp.pose-control","yes","between"
"141",65,141,0.719743963,0.024686582,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,"no",0.615384615,"yes",NA,"exp.pose-exp.pose",NA,"within"
"142",65,142,0.350070021,0.020809304,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,"no",0.615384615,"yes",NA,"exp.pose-exp.pose",NA,"within"
"143",65,143,0.589517915,0.023015013,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,"no",0.615384615,"yes",NA,"exp.pose-exp.pose",NA,"within"
"144",65,144,0.676335281,0.024092445,"Peripheral feedback effects of facial expressions, bodily postures, and vocal expressions on emotional feelings.",2006,"no",0.615384615,"yes",NA,"exp.pose-exp.pose",NA,"within"
"145",66,145,0.341336891,0.036433709,"Personality and emotional memory: How regulating emotion impairs memory for emotional events",2006,"no",0.65,"no","film","suppress-control","yes","between"
"146",67,146,0.591275458,0.019580056,"Positive and reverse placebo effects as a function of differences in cues used in self-perception.",1980,"no",NA,"no",NA,"exp.pose-control","yes","within"
"147",67,147,0.441520101,0.018291167,"Positive and reverse placebo effects as a function of differences in cues used in self-perception.",1980,"no",NA,"no",NA,"exp.pose-control","yes","within"
"148",68,148,-0.056093192,0.029936957,"Reappraisal but not suppression downregulates the experience of positive and negative emotion",2015,"no",0.5,"no","film","suppress-control","yes","between"
"149",68,149,-0.020752338,0.029926798,"Reappraisal but not suppression downregulates the experience of positive and negative emotion",2015,"no",0.5,"no","film","suppress-control","yes","between"
"150",69,150,1.320427054,0.016514454,"Reappraisal but not suppression downregulates the experience of positive and negative emotion",2015,"no",0.43,"no","film","suppress-control","yes","between"
"151",69,151,0.19514325,0.013623866,"Reappraisal but not suppression downregulates the experience of positive and negative emotion",2015,"no",0.43,"no","film","suppress-control","yes","between"
"152",70,152,0.697131241,0.018279353,"Reduced facial reactivity as a contributor to preserved emotion regulation in older adults",2016,"no",0.642857143,NA,"pictures","suppress-control","yes","within"
"153",70,153,0.220301844,0.015062742,"Reduced facial reactivity as a contributor to preserved emotion regulation in older adults",2016,"no",0.642857143,NA,"pictures","suppress-control","yes","within"
"154",71,154,0.086546247,0.028841205,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Albohn",2016,"no",0.552147239,"yes","pictures","incidental-suppress",NA,"between"
"155",72,155,0.093809709,0.032502734,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Allard",2016,"no",0.748502994,"yes","pictures","incidental-suppress",NA,"between"
"156",73,156,-0.012281068,0.034785895,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Benning",2016,"no",0.58041958,"yes","pictures","incidental-suppress",NA,"between"
"157",74,157,0.086728308,0.03964508,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Bulnes",2016,"no",0.833333333,"yes","pictures","incidental-suppress",NA,"between"
"158",75,158,-0.071817682,0.034212574,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Capaldi",2016,"no",0.693333333,"yes","pictures","incidental-suppress",NA,"between"
"159",76,159,-0.036512362,0.042560283,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Chasten",2016,"no",0.703703704,"yes","pictures","incidental-suppress",NA,"between"
"160",77,160,0.145210356,0.040514658,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Holmes",2016,"no",0.639784946,"yes","pictures","incidental-suppress",NA,"between"
"161",78,161,-0.139592974,0.040097431,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Koch",2016,"no",0.663793103,"yes","pictures","incidental-suppress",NA,"between"
"162",79,162,0.011081846,0.039608451,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Korb",2016,"no",0.379310345,"yes","pictures","incidental-suppress",NA,"between"
"163",80,163,0.22924997,0.032083079,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Lynott",2016,"no",0.386075949,"yes","pictures","incidental-suppress",NA,"between"
"164",81,164,-0.170863755,0.036544486,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Oosterwijk",2016,"no",0.302013423,"yes","pictures","incidental-suppress",NA,"between"
"165",82,165,-0.296321575,0.048306833,"Registered Replication Report: Strack, Martin, &amp; Stepper (1988); Ozdogru",2016,"no",0.350318471,"yes","pictures","incidental-suppress",NA,"between"
